FID,Start Time,End Time,Object,MAX_Speed,AVG_Speed,Distance,Shift,X,Y
76,06/04/2022,06/04/2022,1687,71,27,0.850,Morning,32.968022,13.133630
77,06/04/2022,06/04/2022,1687,73,32,1.000,Morning,33.012775,13.157493
78,06/04/2022,06/04/2022,1687,75,44,2.020,Morning,33.042897,13.169972
79,06/04/2022,06/04/2022,1687,75,34,1.020,Morning,33.066910,13.184428
80,06/04/2022,06/04/2022,1687,76,33,1.010,Afternoon,32.954613,13.076017
81,06/04/2022,06/04/2022,1687,76,40,1.020,Afternoon,32.976060,13.079952
82,06/04/2022,06/04/2022,1687,73,24,0.750,Afternoon,32.987522,13.069440
83,06/04/2022,06/04/2022,1687,75,26,0.870,Afternoon,33.004538,13.066962
84,06/04/2022,06/04/2022,1687,71,32,1.000,Afternoon,33.021445,13.065298
85,06/04/2022,06/04/2022,1687,77,36,1.010,Afternoon,33.094725,13.078240
86,06/04/2022,06/04/2022,1687,73,21,0.700,Afternoon,33.123752,13.082193
87,06/04/2022,06/04/2022,1687,77,45,2.020,Night,32.927680,13.089460
88,07/04/2022,07/04/2022,1687,77,43,1.950,Morning,32.928273,13.087713
89,07/04/2022,07/04/2022,1687,77,33,1.000,Morning,32.952792,13.107795
90,07/04/2022,07/04/2022,1687,74,34,1.010,Morning,32.968462,13.139863
91,07/04/2022,07/04/2022,1687,71,32,1.020,Afternoon,32.968653,13.135220
92,07/04/2022,07/04/2022,1687,77,46,2.040,Afternoon,32.928715,13.086573
93,07/04/2022,07/04/2022,1687,77,43,2.030,Night,32.965330,13.131630
94,07/04/2022,07/04/2022,1687,75,30,0.940,Night,32.974370,13.153632
95,08/04/2022,08/04/2022,1687,75,21,0.690,Morning,32.935813,13.082617
96,08/04/2022,08/04/2022,1687,78,61,6.070,Morning,32.949005,13.102852
97,08/04/2022,08/04/2022,1687,77,35,1.020,Morning,32.974000,13.153203
98,08/04/2022,08/04/2022,1687,71,33,1.020,Afternoon,32.949182,13.103132
99,09/04/2022,09/04/2022,1687,71,26,0.860,Morning,32.938310,13.083575
100,09/04/2022,09/04/2022,1687,73,44,2.010,Morning,32.942528,13.100342
101,09/04/2022,09/04/2022,1687,75,37,1.020,Morning,32.959233,13.120112
102,09/04/2022,09/04/2022,1687,77,44,2.010,Morning,32.968790,13.135518
103,09/04/2022,09/04/2022,1687,77,53,1.010,Morning,32.999468,13.148302
104,09/04/2022,09/04/2022,1687,78,31,0.980,Morning,33.010112,13.155357
105,09/04/2022,09/04/2022,1687,76,31,1.000,Morning,33.024205,13.167027
106,09/04/2022,09/04/2022,1687,77,69,4.030,Morning,33.048123,13.172987
107,09/04/2022,09/04/2022,1687,75,54,3.030,Afternoon,32.950577,13.104418
108,09/04/2022,09/04/2022,1687,73,43,2.030,Afternoon,32.968748,13.135375
109,10/04/2022,10/04/2022,1687,77,43,1.950,Night,32.947625,13.101657
110,10/04/2022,10/04/2022,1687,73,35,1.000,Night,32.967177,13.120840
111,10/04/2022,10/04/2022,1687,72,31,1.010,Night,33.033753,13.155848
112,10/04/2022,10/04/2022,1687,74,31,0.920,Morning,32.969522,13.137533
113,10/04/2022,10/04/2022,1687,71,33,1.010,Morning,32.960110,13.122115
114,10/04/2022,10/04/2022,1687,73,33,1.010,Morning,32.952402,13.106255
115,10/04/2022,10/04/2022,1687,71,26,0.880,Morning,32.935365,13.082620
116,10/04/2022,10/04/2022,1687,78,36,1.020,Night,32.927375,13.093812
117,11/04/2022,11/04/2022,1687,76,26,0.870,Night,32.938055,13.083358
118,11/04/2022,11/04/2022,1687,76,50,3.030,Night,32.941438,13.100003
119,11/04/2022,11/04/2022,1687,71,33,1.000,Night,32.969617,13.122885
120,11/04/2022,11/04/2022,1687,73,33,1.010,Night,33.014662,13.124858
121,11/04/2022,11/04/2022,1687,76,31,1.010,Night,33.039978,13.135338
122,12/04/2022,12/04/2022,1687,73,32,1.010,Night,32.959355,13.120473
123,12/04/2022,12/04/2022,1687,71,32,1.020,Night,32.968958,13.136050
124,12/04/2022,12/04/2022,1687,71,12,0.200,Morning,32.938215,13.069327
125,12/04/2022,12/04/2022,1687,76,34,1.010,Morning,32.954802,13.076013
126,12/04/2022,12/04/2022,1687,79,34,1.010,Morning,32.976015,13.080222
127,12/04/2022,12/04/2022,1687,74,25,0.800,Morning,32.983452,13.069298
128,12/04/2022,12/04/2022,1687,76,34,1.010,Morning,33.050183,13.058867
129,12/04/2022,12/04/2022,1687,76,31,1.010,Morning,33.048270,13.029073
130,12/04/2022,12/04/2022,1687,76,26,0.780,Morning,33.037583,13.014862
131,12/04/2022,12/04/2022,1687,74,27,0.890,Afternoon,32.938717,13.083898
132,12/04/2022,12/04/2022,1687,73,44,2.020,Night,33.015435,13.125050
133,13/04/2022,13/04/2022,1687,72,32,1.010,Night,32.958905,13.117760
134,13/04/2022,13/04/2022,1687,77,44,2.010,Night,32.968040,13.133462
135,13/04/2022,13/04/2022,1687,75,33,1.010,Night,33.049805,13.173967
136,13/04/2022,13/04/2022,1687,71,32,1.010,Night,32.973030,13.141432
137,13/04/2022,13/04/2022,1687,74,19,0.650,Morning,32.951558,13.170347
138,13/04/2022,13/04/2022,1687,77,45,1.990,Afternoon,32.928402,13.087250
