FID,Start Time,End Time,Object,MAX_Speed,AVG_Speed,Distance,Shift,X,Y
73,06/04/2022,06/04/2022,1691,77,49,2.040,Afternoon,32.945257,13.070002
74,06/04/2022,06/04/2022,1691,77,33,1.000,Afternoon,32.969005,13.082783
75,06/04/2022,06/04/2022,1691,77,36,1.020,Afternoon,32.976122,13.079575
76,06/04/2022,06/04/2022,1691,77,57,5.060,Afternoon,32.986245,13.069378
77,06/04/2022,06/04/2022,1691,76,39,1.820,Afternoon,33.064823,13.068440
78,06/04/2022,06/04/2022,1691,75,49,2.010,Afternoon,33.094688,13.078088
79,06/04/2022,06/04/2022,1691,77,34,1.010,Afternoon,33.112793,13.086327
80,06/04/2022,06/04/2022,1691,77,36,1.020,Afternoon,33.139257,13.083153
81,07/04/2022,07/04/2022,1691,73,33,1.020,Afternoon,32.922910,13.105865
82,07/04/2022,07/04/2022,1691,77,53,3.030,Afternoon,32.940413,13.097673
83,07/04/2022,07/04/2022,1691,77,54,3.040,Afternoon,32.962447,13.125518
84,07/04/2022,07/04/2022,1691,76,36,1.010,Afternoon,32.990078,13.143955
85,07/04/2022,07/04/2022,1691,76,49,3.040,Afternoon,33.006755,13.152217
86,07/04/2022,07/04/2022,1691,76,51,2.770,Afternoon,33.034577,13.170885
87,08/04/2022,08/04/2022,1691,76,35,1.020,Afternoon,32.950920,13.104863
88,08/04/2022,08/04/2022,1691,76,35,1.010,Afternoon,32.959242,13.120163
89,09/04/2022,09/04/2022,1691,72,33,1.010,Afternoon,32.955443,13.109165
90,09/04/2022,09/04/2022,1691,71,36,1.010,Afternoon,32.951108,13.104940
91,09/04/2022,09/04/2022,1691,76,34,1.000,Afternoon,32.968922,13.135782
92,10/04/2022,10/04/2022,1691,76,45,1.960,Afternoon,32.942593,13.100358
93,10/04/2022,10/04/2022,1691,75,34,1.020,Afternoon,32.959267,13.120097
94,10/04/2022,10/04/2022,1691,76,35,1.020,Afternoon,32.968928,13.135727
95,11/04/2022,11/04/2022,1691,77,59,5.870,Afternoon,32.945818,13.100570
96,11/04/2022,11/04/2022,1691,74,32,1.010,Afternoon,32.953843,13.107562
97,11/04/2022,11/04/2022,1691,76,38,1.000,Afternoon,33.044047,13.137235
98,12/04/2022,12/04/2022,1691,71,33,1.010,Afternoon,32.948568,13.102442
99,12/04/2022,12/04/2022,1691,77,56,4.040,Afternoon,32.958945,13.117195
100,14/04/2022,14/04/2022,1691,76,34,1.020,Afternoon,32.968880,13.135623
101,14/04/2022,14/04/2022,1691,76,44,2.010,Afternoon,32.927745,13.089187
102,15/04/2022,15/04/2022,1691,76,59,4.040,Afternoon,33.076810,13.191608
103,15/04/2022,15/04/2022,1691,73,33,1.000,Afternoon,32.993128,13.146390
104,20/04/2022,20/04/2022,1691,77,62,7.080,Afternoon,32.940727,13.099365
105,20/04/2022,20/04/2022,1691,76,37,1.020,Afternoon,32.990980,13.144420
106,20/04/2022,20/04/2022,1691,76,32,1.010,Afternoon,33.013805,13.158310
107,20/04/2022,20/04/2022,1691,76,32,1.010,Afternoon,33.027035,13.170803
108,05/04/2022,05/04/2022,1692,72,30,0.940,Afternoon,32.947633,13.101592
109,05/04/2022,05/04/2022,1692,73,43,2.010,Afternoon,32.967988,13.133278
110,06/04/2022,06/04/2022,1692,75,34,1.020,Afternoon,32.949543,13.103493
111,07/04/2022,07/04/2022,1692,77,50,2.920,Afternoon,32.944205,13.100245
112,09/04/2022,09/04/2022,1692,77,50,2.860,Afternoon,32.945358,13.100395
113,09/04/2022,09/04/2022,1692,76,34,1.020,Afternoon,32.969257,13.136832
