FID,Start Time,End Time,Object,MAX_Speed,AVG_Speed,Distance,Shift,X,Y
79,19/04/2022,19/04/2022,1690,74,21,0.710,Night,32.941438,13.094258
80,20/04/2022,20/04/2022,1690,76,33,1.000,Night,32.969950,13.138582
81,20/04/2022,20/04/2022,1690,76,46,2.030,Night,33.062740,13.181347
82,20/04/2022,20/04/2022,1690,74,19,0.640,Night,32.935465,13.082597
83,20/04/2022,20/04/2022,1690,77,60,6.030,Night,32.948042,13.101978
84,20/04/2022,20/04/2022,1690,72,36,1.010,Night,32.989497,13.143813
85,21/04/2022,21/04/2022,1690,76,37,1.010,Night,32.989705,13.144855
86,21/04/2022,21/04/2022,1690,72,40,1.920,Night,32.969473,13.137295
87,21/04/2022,21/04/2022,1690,73,35,1.020,Night,32.958423,13.113043
88,06/04/2022,06/04/2022,1691,78,48,2.030,Night,33.063232,13.097450
89,06/04/2022,06/04/2022,1691,73,36,1.010,Night,33.038932,13.084142
90,06/04/2022,06/04/2022,1691,76,58,4.060,Night,33.000317,13.091163
91,06/04/2022,06/04/2022,1691,77,51,3.040,Night,32.959445,13.076407
92,07/04/2022,07/04/2022,1691,73,29,0.850,Night,32.970577,13.139935
93,07/04/2022,07/04/2022,1691,76,56,4.970,Night,32.961520,13.124375
94,08/04/2022,08/04/2022,1691,72,19,0.630,Night,32.935292,13.082623
95,08/04/2022,08/04/2022,1691,77,56,4.020,Night,32.954880,13.108553
96,08/04/2022,08/04/2022,1691,77,52,4.760,Night,33.036497,13.170098
97,08/04/2022,08/04/2022,1691,71,35,1.020,Night,33.052453,13.175500
98,08/04/2022,08/04/2022,1691,76,34,1.010,Night,32.968017,13.133490
99,08/04/2022,08/04/2022,1691,76,46,2.030,Night,32.955503,13.109273
100,08/04/2022,08/04/2022,1691,74,34,1.010,Night,32.955362,13.109062
101,10/04/2022,10/04/2022,1691,73,32,1.010,Night,33.034910,13.156775
102,10/04/2022,10/04/2022,1691,76,61,6.970,Night,32.980402,13.141280
103,11/04/2022,11/04/2022,1691,74,41,1.870,Night,32.929143,13.085592
104,11/04/2022,11/04/2022,1691,74,32,1.010,Night,32.951752,13.170803
105,11/04/2022,11/04/2022,1691,74,33,1.020,Night,32.890842,13.099015
106,12/04/2022,12/04/2022,1691,71,29,0.980,Night,32.941277,13.095532
107,12/04/2022,12/04/2022,1691,77,55,3.040,Night,32.955078,13.108830
108,12/04/2022,12/04/2022,1691,73,50,3.030,Night,33.021235,13.149077
109,12/04/2022,12/04/2022,1691,74,37,1.030,Night,33.054217,13.163450
110,13/04/2022,13/04/2022,1691,72,33,1.010,Night,32.952958,13.106707
111,13/04/2022,13/04/2022,1691,77,44,1.970,Night,32.940387,13.097700
112,13/04/2022,13/04/2022,1691,76,26,0.830,Night,32.959717,13.121313
113,13/04/2022,13/04/2022,1691,76,34,1.010,Night,32.969268,13.136667
114,13/04/2022,13/04/2022,1691,76,29,0.920,Night,32.985555,13.141917
115,13/04/2022,13/04/2022,1691,72,31,1.020,Night,33.015620,13.160017
116,14/04/2022,14/04/2022,1691,74,35,1.010,Night,32.977547,13.205927
117,14/04/2022,14/04/2022,1691,71,35,1.030,Night,32.908795,13.087128
118,17/04/2022,17/04/2022,1691,76,48,2.970,Night,32.940932,13.099628
119,18/04/2022,18/04/2022,1691,78,29,0.970,Night,32.936367,13.082723
120,19/04/2022,19/04/2022,1691,77,61,6.050,Night,32.948287,13.102132
121,19/04/2022,19/04/2022,1691,76,48,2.020,Night,32.989670,13.143810
122,19/04/2022,19/04/2022,1691,74,32,1.010,Night,33.013372,13.157943
123,19/04/2022,19/04/2022,1691,71,33,1.020,Night,33.027043,13.169915
124,19/04/2022,19/04/2022,1691,71,34,1.010,Night,33.043267,13.170125
125,19/04/2022,19/04/2022,1691,72,33,1.010,Night,33.067123,13.184468
126,19/04/2022,19/04/2022,1691,73,32,1.000,Night,33.047082,13.172385
127,19/04/2022,19/04/2022,1691,74,33,1.010,Night,32.968633,13.135183
128,19/04/2022,19/04/2022,1691,76,54,3.030,Night,32.959085,13.119647
129,19/04/2022,19/04/2022,1691,76,31,1.010,Night,32.943552,13.069853
130,19/04/2022,19/04/2022,1691,71,29,0.960,Night,32.940590,13.076885
131,20/04/2022,20/04/2022,1691,71,27,0.920,Night,32.939190,13.084690
132,20/04/2022,20/04/2022,1691,77,58,5.910,Night,32.944245,13.100223
133,20/04/2022,20/04/2022,1691,72,32,1.020,Night,32.953077,13.106927
134,20/04/2022,20/04/2022,1691,77,23,0.770,Night,32.937212,13.082883
135,20/04/2022,20/04/2022,1691,76,49,3.020,Night,32.940342,13.098547
136,20/04/2022,20/04/2022,1691,77,44,2.020,Night,32.967907,13.133030
137,20/04/2022,20/04/2022,1691,72,23,0.770,Night,33.035823,13.170393
138,21/04/2022,21/04/2022,1691,77,23,0.770,Night,32.937348,13.082943
139,21/04/2022,21/04/2022,1691,77,54,3.900,Night,32.940350,13.097575
140,21/04/2022,21/04/2022,1691,76,46,2.040,Night,32.967778,13.132777
