FID,Shape,X,Y
381,Point,33.005871,13.099518
382,Point,33.005878,13.100366
383,Point,33.005905,13.089916
384,Point,33.005994,13.077927
385,Point,33.006003,13.060152
386,Point,33.006003,13.059549
387,Point,33.006004,13.096555
388,Point,33.006026,13.058861
389,Point,33.006059,13.101390
390,Point,33.006098,13.100362
391,Point,33.006109,13.058204
392,Point,33.006121,13.075994
393,Point,33.006121,13.057753
394,Point,33.006221,13.103106
395,Point,33.006251,13.102242
396,Point,33.006348,13.101795
397,Point,33.006374,13.101273
398,Point,33.006411,13.100356
399,Point,33.006441,13.060164
400,Point,33.006445,13.058920
401,Point,33.006457,13.059579
402,Point,33.006459,13.006872
403,Point,33.006465,13.058213
404,Point,33.006471,13.057761
405,Point,33.006572,13.100353
406,Point,33.006581,13.099527
407,Point,33.006585,13.098426
408,Point,33.006602,13.097506
409,Point,33.006669,13.097048
410,Point,33.006692,13.096497
411,Point,33.006696,13.066350
412,Point,33.006714,13.102124
413,Point,33.006880,13.060179
414,Point,33.006926,13.058933
415,Point,33.006992,13.062130
416,Point,33.007093,13.061021
417,Point,33.007202,13.057778
418,Point,33.007218,13.063187
419,Point,33.007246,13.060191
420,Point,33.007299,13.059519
421,Point,33.007335,13.058944
422,Point,33.007379,13.058267
423,Point,33.007501,13.097483
424,Point,33.007553,13.102896
425,Point,33.007645,13.065006
426,Point,33.007682,13.063391
427,Point,33.007745,13.100366
428,Point,33.007808,13.102995
429,Point,33.007828,13.063334
430,Point,33.008069,13.062167
431,Point,33.008094,13.061104
432,Point,33.008147,13.060272
433,Point,33.008167,13.059521
434,Point,33.008936,13.061116
435,Point,33.008981,13.060337
436,Point,33.009006,13.060084
437,Point,33.009056,13.149670
438,Point,33.009060,13.059534
439,Point,33.009104,13.059085
440,Point,33.009169,13.062173
441,Point,33.009272,13.061789
442,Point,33.009332,13.061104
443,Point,33.009374,13.062981
444,Point,33.009394,13.060084
445,Point,33.009409,13.059559
446,Point,33.009412,13.054860
447,Point,33.009430,13.153010
448,Point,33.009773,13.061502
449,Point,33.009855,13.216007
450,Point,33.010394,13.062202
451,Point,33.010407,13.142720
452,Point,33.010528,13.214592
453,Point,33.010674,13.124881
454,Point,33.010966,13.151320
455,Point,33.011021,13.148279
456,Point,33.011087,13.156041
457,Point,33.011434,13.153900
458,Point,33.011543,13.155706
459,Point,33.011935,13.155382
460,Point,33.012505,13.152650
461,Point,33.012538,13.149567
462,Point,33.012688,13.155303
463,Point,33.012933,13.116792
464,Point,33.013173,13.157656
465,Point,33.013517,13.079051
466,Point,33.013705,13.102465
467,Point,33.013829,13.145186
468,Point,33.014068,13.181004
469,Point,33.014093,13.150887
470,Point,33.014272,13.156502
471,Point,33.014737,13.154588
472,Point,33.014810,13.155936
473,Point,33.014816,13.156990
474,Point,33.014946,13.152913
475,Point,33.015005,13.152444
476,Point,33.015040,13.152160
477,Point,33.015136,13.146674
478,Point,33.015333,13.157455
479,Point,33.015346,13.156429
480,Point,33.015460,13.152985
481,Point,33.015639,13.179594
482,Point,33.015727,13.145616
483,Point,33.015829,13.156874
484,Point,33.015909,13.155087
485,Point,33.015948,13.153021
486,Point,33.015993,13.158019
487,Point,33.016275,13.155381
488,Point,33.016372,13.158343
489,Point,33.016503,13.157495
490,Point,33.016632,13.158565
491,Point,33.016837,13.147997
492,Point,33.016886,13.157847
493,Point,33.017013,13.160818
494,Point,33.017472,13.159742
495,Point,33.017882,13.157005
496,Point,33.018896,13.078106
497,Point,33.020038,13.155207
498,Point,33.020119,13.000322
499,Point,33.020203,13.000607
500,Point,33.021667,13.115550
501,Point,33.023574,13.175927
502,Point,33.023613,13.150023
503,Point,33.023643,13.175972
504,Point,33.023976,13.148961
505,Point,33.024430,13.149106
506,Point,33.025651,13.033937
507,Point,33.026199,13.080849
508,Point,33.026202,13.065294
509,Point,33.026655,13.090799
510,Point,33.027288,13.065526
511,Point,33.027296,13.055459
512,Point,33.027378,13.092045
513,Point,33.028850,13.173223
514,Point,33.029447,13.172855
515,Point,33.033011,13.132749
516,Point,33.037599,13.119166
517,Point,33.042413,13.104342
518,Point,33.046890,13.090117
519,Point,33.048350,13.090767
520,Point,33.049569,13.068790
521,Point,33.049653,13.068198
522,Point,33.051092,13.054055
523,Point,33.055280,13.069813
524,Point,33.057184,13.177914
525,Point,33.057797,13.177081
526,Point,33.058738,13.069631
527,Point,33.060842,13.072061
528,Point,33.062648,13.168896
529,Point,33.062732,13.130057
530,Point,33.065475,13.168933
531,Point,33.068454,13.080422
532,Point,33.068653,13.112924
533,Point,33.069345,13.170109
534,Point,33.069787,13.169498
535,Point,33.070119,13.161686
536,Point,33.070736,13.165672
537,Point,33.071354,13.159023
538,Point,33.071405,13.165906
539,Point,33.071420,13.162367
540,Point,33.071573,13.158517
541,Point,33.071787,13.157889
542,Point,33.071834,13.157912
543,Point,33.072134,13.162641
544,Point,33.072604,13.159751
545,Point,33.072756,13.162880
546,Point,33.072839,13.159233
547,Point,33.073147,13.161993
548,Point,33.073148,13.158550
549,Point,33.073181,13.160087
550,Point,33.073409,13.159555
551,Point,33.073500,13.155693
552,Point,33.073720,13.158827
553,Point,33.073733,13.154667
554,Point,33.073828,13.160465
555,Point,33.073829,13.160465
556,Point,33.073917,13.153839
557,Point,33.073928,13.162007
558,Point,33.074188,13.156482
559,Point,33.074302,13.156016
560,Point,33.074358,13.159408
561,Point,33.074358,13.156626
562,Point,33.074463,13.159188
563,Point,33.074540,13.160149
564,Point,33.074665,13.158763
565,Point,33.074827,13.158421
566,Point,33.075004,13.158044
567,Point,33.075353,13.159003
568,Point,33.075373,13.156670
569,Point,33.076144,13.158945
570,Point,33.077192,13.114217
571,Point,33.078407,13.068804
572,Point,33.079351,13.068627
573,Point,33.081347,13.138344
574,Point,33.081765,13.102282
575,Point,33.081925,13.072811
576,Point,33.085553,13.076798
577,Point,33.086271,13.098224
578,Point,33.086779,13.199495
579,Point,33.087147,13.080903
580,Point,33.089600,13.056700
581,Point,33.089702,13.063720
582,Point,33.090234,13.096370
583,Point,33.090800,13.094636
584,Point,33.092118,13.058565
585,Point,33.092128,13.073674
586,Point,33.092200,13.118381
587,Point,33.093071,13.074609
588,Point,33.094622,13.139043
589,Point,33.096462,13.081358
590,Point,33.098587,13.055330
591,Point,33.101031,13.116428
592,Point,33.101386,13.068592
593,Point,33.103297,13.114845
594,Point,33.104387,13.115951
595,Point,33.104903,13.113953
596,Point,33.106861,13.093198
597,Point,33.110694,13.070436
598,Point,33.117539,13.136768
599,Point,33.117546,13.137005
600,Point,33.119308,13.135324
601,Point,33.119967,13.078540
602,Point,33.122516,13.138469
603,Point,33.125420,13.085143
604,Point,33.131458,13.162899
605,Point,33.132330,13.199203
606,Point,33.134050,13.161594
607,Point,33.137166,13.094792
608,Point,33.137452,13.093907
609,Point,33.138028,13.187925
610,Point,33.141243,13.152988
611,Point,33.142836,13.142935
612,Point,33.150042,13.164828
613,Point,33.153388,13.180128
614,Point,33.157155,13.162383
615,Point,33.158461,13.176756
