FID,Start Time,End Time,Object,MAX_Speed,AVG_Speed,Distance,Shift,X,Y
76,07/04/2022,07/04/2022,1691,74,33,1.020,Morning,32.952258,13.106127
77,08/04/2022,08/04/2022,1691,76,46,2.740,Morning,32.930590,13.082275
78,08/04/2022,08/04/2022,1691,75,30,1.470,Morning,32.912113,13.106892
79,08/04/2022,08/04/2022,1691,73,35,1.010,Morning,32.927355,13.093487
80,09/04/2022,09/04/2022,1691,71,29,0.940,Morning,32.939437,13.085562
81,09/04/2022,09/04/2022,1691,76,36,1.010,Morning,32.952740,13.106522
82,10/04/2022,10/04/2022,1691,72,25,0.830,Morning,32.936633,13.082775
83,10/04/2022,10/04/2022,1691,77,57,4.040,Morning,32.940553,13.099090
84,10/04/2022,10/04/2022,1691,75,35,1.020,Morning,32.968052,13.133483
85,10/04/2022,10/04/2022,1691,71,31,1.020,Morning,32.989083,13.143600
86,10/04/2022,10/04/2022,1691,72,31,1.000,Morning,33.051885,13.175155
87,10/04/2022,10/04/2022,1691,76,47,2.020,Morning,32.956672,13.110455
88,11/04/2022,11/04/2022,1691,77,61,7.050,Morning,32.927450,13.092440
89,11/04/2022,11/04/2022,1691,76,34,1.020,Morning,32.951708,13.151997
90,11/04/2022,11/04/2022,1691,77,53,4.760,Morning,32.962352,13.185910
91,11/04/2022,11/04/2022,1691,73,32,1.020,Morning,32.907798,13.162758
92,11/04/2022,11/04/2022,1691,77,56,3.040,Morning,32.891088,13.098460
93,14/04/2022,14/04/2022,1691,77,47,2.030,Morning,32.927447,13.092382
94,14/04/2022,14/04/2022,1691,75,44,2.020,Morning,32.934330,13.112772
95,14/04/2022,14/04/2022,1691,73,51,3.030,Morning,32.945092,13.135597
96,14/04/2022,14/04/2022,1691,76,44,2.030,Morning,32.975820,13.205147
97,15/04/2022,15/04/2022,1691,76,36,1.010,Morning,32.950632,13.104505
98,15/04/2022,15/04/2022,1691,71,32,1.020,Morning,33.048693,13.141022
99,18/04/2022,18/04/2022,1691,72,30,0.960,Morning,32.942965,13.069768
100,18/04/2022,18/04/2022,1691,76,24,0.790,Morning,32.940062,13.085130
101,05/04/2022,05/04/2022,1692,74,35,1.010,Morning,32.927347,13.093845
102,05/04/2022,05/04/2022,1692,72,28,0.950,Morning,32.936525,13.117678
103,05/04/2022,05/04/2022,1692,71,32,1.000,Morning,32.942295,13.211947
104,06/04/2022,06/04/2022,1692,77,54,3.900,Morning,32.945750,13.100505
105,06/04/2022,06/04/2022,1692,76,34,1.020,Morning,32.969708,13.137955
106,06/04/2022,06/04/2022,1692,73,35,1.020,Morning,33.064917,13.182932
107,08/04/2022,08/04/2022,1692,76,52,3.050,Morning,32.954408,13.076090
108,10/04/2022,10/04/2022,1692,71,35,1.020,Morning,33.033297,13.176922
109,10/04/2022,10/04/2022,1692,77,59,4.060,Morning,32.967348,13.131608
110,10/04/2022,10/04/2022,1692,75,27,0.910,Morning,32.940493,13.096972
111,10/04/2022,10/04/2022,1692,77,60,6.070,Morning,32.928968,13.086043
112,10/04/2022,10/04/2022,1692,73,34,1.020,Morning,32.927548,13.090878
113,12/04/2022,12/04/2022,1692,77,35,1.020,Morning,32.943882,13.069908
114,12/04/2022,12/04/2022,1692,77,43,1.940,Morning,32.960943,13.076745
115,12/04/2022,12/04/2022,1692,77,32,1.020,Morning,32.976007,13.080543
116,12/04/2022,12/04/2022,1692,77,38,1.770,Morning,32.983202,13.069298
117,12/04/2022,12/04/2022,1692,77,58,4.060,Morning,33.009618,13.064067
118,12/04/2022,12/04/2022,1692,76,34,1.000,Morning,33.050202,13.058943
119,12/04/2022,12/04/2022,1692,77,46,2.030,Morning,33.046740,13.028290
120,12/04/2022,12/04/2022,1692,77,48,1.010,Morning,33.040162,13.011600
121,13/04/2022,13/04/2022,1692,77,45,2.020,Morning,32.927468,13.091868
122,13/04/2022,13/04/2022,1692,72,43,2.010,Morning,32.932402,13.112465
123,13/04/2022,13/04/2022,1692,72,36,1.000,Morning,32.950228,13.142417
124,15/04/2022,15/04/2022,1692,77,46,2.020,Morning,32.949725,13.103635
125,15/04/2022,15/04/2022,1692,76,25,0.840,Morning,33.044262,13.137458
126,15/04/2022,15/04/2022,1692,76,53,4.580,Morning,33.033025,13.118797
127,15/04/2022,15/04/2022,1692,77,49,2.020,Morning,32.976387,13.114382
128,16/04/2022,16/04/2022,1692,76,32,1.020,Morning,32.936765,13.062647
129,16/04/2022,16/04/2022,1692,77,56,6.780,Morning,32.940427,13.097537
130,16/04/2022,16/04/2022,1692,76,32,1.020,Morning,33.025698,13.131578
131,16/04/2022,16/04/2022,1692,76,34,1.010,Morning,33.043545,13.136952
132,17/04/2022,17/04/2022,1692,77,29,0.960,Morning,32.939165,13.084692
133,18/04/2022,18/04/2022,1692,76,46,2.010,Morning,33.071062,13.187442
134,18/04/2022,18/04/2022,1692,76,33,1.020,Morning,33.047533,13.172598
135,18/04/2022,18/04/2022,1692,71,31,1.010,Morning,33.007643,13.153160
136,18/04/2022,18/04/2022,1692,76,33,1.010,Morning,32.968685,13.135292
137,18/04/2022,18/04/2022,1692,73,36,1.020,Morning,32.956955,13.110765
138,18/04/2022,18/04/2022,1692,71,60,1.020,Morning,32.940790,13.091233
139,18/04/2022,18/04/2022,1692,72,26,0.860,Morning,32.941355,13.095285
140,18/04/2022,18/04/2022,1692,76,29,0.960,Morning,32.937887,13.083317
141,18/04/2022,18/04/2022,1692,77,56,3.030,Morning,32.919670,13.083640
142,18/04/2022,18/04/2022,1692,76,36,1.010,Morning,32.890042,13.102262
143,18/04/2022,18/04/2022,1692,77,29,0.940,Morning,32.882190,13.133797
144,18/04/2022,18/04/2022,1692,72,34,1.010,Morning,32.892180,13.149133
145,18/04/2022,18/04/2022,1692,77,34,1.020,Morning,32.912290,13.167668
146,20/04/2022,20/04/2022,1692,73,32,1.020,Morning,33.037573,13.180850
147,20/04/2022,20/04/2022,1692,77,47,2.030,Morning,32.958842,13.116837
148,05/04/2022,05/04/2022,1694,77,46,2.030,Morning,32.944112,13.069892
149,05/04/2022,05/04/2022,1694,72,31,1.010,Morning,32.968382,13.081958
150,05/04/2022,05/04/2022,1694,76,31,1.020,Morning,32.983058,13.090402
151,05/04/2022,05/04/2022,1694,73,29,0.970,Morning,32.940092,13.069402
152,07/04/2022,07/04/2022,1694,75,32,1.020,Morning,32.968547,13.134873
153,07/04/2022,07/04/2022,1694,77,53,3.030,Morning,32.958980,13.119303
154,07/04/2022,07/04/2022,1694,77,42,1.910,Morning,32.942382,13.069598
155,07/04/2022,07/04/2022,1694,75,35,1.020,Morning,32.967725,13.081155
156,07/04/2022,07/04/2022,1694,77,32,1.010,Morning,32.982042,13.090148
157,07/04/2022,07/04/2022,1694,71,28,0.910,Morning,32.988823,13.108773
158,08/04/2022,08/04/2022,1694,75,31,1.010,Morning,32.939587,13.086038
159,08/04/2022,08/04/2022,1694,77,54,3.910,Morning,32.945258,13.100410
160,08/04/2022,08/04/2022,1694,77,34,1.020,Morning,32.969675,13.137760
161,08/04/2022,08/04/2022,1694,77,31,1.020,Morning,32.999152,13.148117
162,10/04/2022,10/04/2022,1694,77,45,2.020,Morning,32.927802,13.089080
163,10/04/2022,10/04/2022,1694,77,33,1.000,Morning,32.933433,13.112607
164,10/04/2022,10/04/2022,1694,76,25,0.840,Morning,32.926508,13.126765
165,10/04/2022,10/04/2022,1694,77,34,1.020,Morning,32.927207,13.094630
166,11/04/2022,11/04/2022,1694,74,33,1.020,Morning,32.951852,13.105735
167,11/04/2022,11/04/2022,1694,76,33,1.000,Morning,32.971312,13.124448
168,11/04/2022,11/04/2022,1694,77,32,1.000,Morning,32.986722,13.131970
169,11/04/2022,11/04/2022,1694,74,34,1.020,Morning,33.019815,13.128347
170,11/04/2022,11/04/2022,1694,73,32,1.020,Morning,33.037377,13.134570
171,11/04/2022,11/04/2022,1694,71,33,1.000,Morning,32.994288,13.120595
