FID,FIELDNO,AREA_FED,Area_Sq_m,PERIMETER 
166,21322,121.381,509801.331,4242.015
167,21323,170.583,716447.895,4928.607
168,21324,126.880,532894.208,3985.767
169,21325,108.560,455949.939,3544.313
170,21326,63.014,264657.703,3065.621
171,21327,154.140,647388.313,3450.342
172,21328,47.910,201221.126,1946.571
173,21329,46.159,193868.617,1900.394
174,21330,25.185,105778.848,1354.535
175,21331,20.086,84359.654,1167.675
176,21332,26.959,113228.573,1438.270
177,21333,15.896,66764.499,1034.456
178,21334,11.614,48779.696,903.470
179,22101,82.871,348058.995,2321.961
180,22102,42.175,177133.667,2068.351
181,22103,84.146,353413.245,2728.169
182,22104,133.467,560562.666,3386.416
183,22105,125.205,525859.062,3459.303
184,22106,96.726,406251.081,3430.814
185,22107,65.584,275451.344,2316.542
186,22108,117.192,492206.803,2937.523
187,22109,59.739,250901.952,2323.342
188,22110,73.680,309455.619,2443.636
189,22112,144.782,608086.237,3447.673
190,22113,181.251,761252.555,4300.313
191,22114,83.371,350159.174,3296.268
192,22115,130.617,548592.867,3487.627
193,22116,93.336,392011.760,3453.976
194,22117,110.754,465166.800,3548.682
195,22118,92.772,389641.571,3446.749
196,22119,116.544,489484.285,3562.167
197,22121,110.480,464017.926,4509.665
198,22120,109.486,459842.185,4245.502
199,22122,157.065,659671.555,4562.270
200,22123,186.154,781846.509,4103.104
201,22124,11.262,47299.661,1069.662
202,22125,53.700,225538.454,2728.034
203,22111,148.016,621667.469,3573.208
204,22201,213.502,896708.937,4887.150
205,22202,261.051,1096414.906,5118.703
206,22203,227.363,954923.290,4885.897
207,22204,199.579,838229.750,5475.017
208,22205,126.088,529568.480,4731.712
209,22206,121.153,508842.970,4123.663
210,22207,142.123,596917.373,4136.693
211,22208,143.160,601272.336,4200.801
212,22209,222.573,934804.752,4769.266
213,22210,178.370,749155.591,4570.717
214,22211,240.343,1009441.866,4882.137
215,22212,151.625,636823.130,4423.320
216,22213,122.229,513363.043,4410.286
217,22214,182.400,766080.739,3765.278
218,22215,149.948,629782.653,3611.208
219,22216,139.401,585483.517,3195.441
220,22217,46.011,193245.024,2101.295
221,22301,249.848,1049362.516,5783.959
222,22302,53.551,224914.234,4675.328
223,22303,118.192,496406.691,3938.744
224,22304,38.234,160583.898,1561.034
225,22305,188.383,791210.134,3699.800
226,22306,62.979,264511.721,2933.182
227,22307,61.895,259956.995,2531.281
228,22308,68.880,289297.098,2454.177
229,22309,83.769,351828.781,2517.066
230,22310,86.032,361335.094,2596.887
231,22311,62.853,263981.110,2373.530
232,22312,27.202,114248.400,1995.370
233,22313,35.742,150116.713,1986.400
234,22314,55.010,231042.448,2340.348
235,22315,88.247,370636.784,2740.517
236,22316,91.479,384211.117,2900.678
237,22317,94.434,396624.032,3024.981
238,22318,87.161,366075.785,3101.877
239,22319,89.955,377810.541,3079.908
240,22320,92.336,387813.283,3061.450
241,22321,70.164,294688.195,2610.330
242,22322,153.827,646071.664,3482.814
243,22323,108.191,454400.128,3180.225
244,22324,109.552,460116.742,3292.047
245,22325,170.840,717528.874,3767.927
246,22326,85.703,359953.216,2794.444
247,31101,86.200,362058.550,2559.856
248,31102,195.680,821873.325,4002.745
249,31103,198.290,832812.330,4508.924
250,31107,171.410,719923.925,3729.997
251,31104,335.520,1409187.593,5720.026
252,31109,104.940,440736.075,3538.611
253,31110,243.890,1024354.381,4457.591
254,31111,154.800,650145.230,3774.008
255,31112,51.860,217809.900,2597.624
256,31113,82.030,344541.295,2481.691
257,31114,146.180,613967.795,3688.950
258,31116,94.620,397422.340,3715.765
259,31117,160.570,674387.245,4326.832
260,31118,235.310,988302.805,4527.534
261,31106,135.820,570438.645,3381.261
262,31108,194.200,815640.280,3990.416
263,31115,145.940,612952.270,3875.547
