FID,LOCATION,WIDTH,LANE,SPEED,LENGTH,ROAD CLASS,ROAD TYPE,DIRECTION,AREA ID,CATEGORY
75,KSC,20,2,60,4193,Major,Harvesting,Two Ways,Area 1,Semi Paved
76,KSC,20,2,60,4815,Major,Harvesting,Two Ways,Area 6,Unpaved
77,KSC,20,2,60,249,Major,Harvesting,Two Ways,Area 5,Unpaved
78,KSC,20,2,60,3043,Major,Harvesting,Two Ways,Area 5,Unpaved
79,KSC,20,2,60,1988,Major,Harvesting,Two Ways,Area 5,Unpaved
80,KSC,20,2,60,1021,Major,Harvesting,Two Ways,Area 5,Unpaved
81,KSC,20,2,60,1476,Major,Harvesting,Two Ways,Area 2,Paved
82,KSC,20,2,60,3733,Major,Harvesting,Two Ways,Area 3,Semi Paved
83,KSC,20,2,60,719,Major,Harvesting,Two Ways,Area 3,Semi Paved
84,KSC,20,2,60,917,Major,Harvesting,Two Ways,Area 3,Semi Paved
85,KSC,20,2,60,5994,Major,Harvesting,Two Ways,Area 3,Unpaved
86,KSC,20,2,60,10356,Major,Harvesting,Two Ways,Area 7,Semi Paved
87,KSC,20,2,60,4144,Major,Harvesting,Two Ways,Area 7,Semi Paved
88,KSC,20,2,60,6848,Major,Harvesting,Two Ways,Area 7,Semi Paved
89,KSC,20,2,60,73,Major,Harvesting,Two Ways,Area 7,Unpaved
90,KSC,20,2,60,7289,Major,Harvesting,Two Ways,Area 7,Unpaved
91,KSC,20,2,60,7164,Major,Harvesting,Two Ways,Area 7,Unpaved
92,KSC,20,2,60,5526,Major,Harvesting,Two Ways,Area 7,Unpaved
93,KSC,20,2,60,4605,Major,Harvesting,Two Ways,Area 7,Unpaved
94,KSC,20,2,60,3368,Major,Harvesting,Two Ways,Area 7,Unpaved
95,KSC,20,2,60,803,Major,Harvesting,Two Ways,Area 7,Semi Paved
96,KSC,20,2,60,1163,Major,Harvesting,Two Ways,Area 7,Semi Paved
97,KSC,20,2,60,679,Major,Harvesting,Two Ways,Area 7,Unpaved
98,KSC,20,2,60,1087,Major,Harvesting,Two Ways,Area 7,Unpaved
99,KSC,20,2,60,991,Major,Harvesting,Two Ways,Area 7,Unpaved
100,KSC,20,2,60,1569,Major,Harvesting,Two Ways,Area 7,Semi Paved
101,KSC,20,2,60,858,Major,Harvesting,Two Ways,Area 7,Unpaved
102,KSC,20,2,60,1576,Major,Harvesting,Two Ways,Area 7,Semi Paved
103,KSC,20,2,60,5368,Major,Harvesting,Two Ways,Area 7,Semi Paved
104,KSC,20,2,60,1936,Major,Harvesting,Two Ways,Area 7,Semi Paved
105,KSC,20,2,60,835,Major,Harvesting,Two Ways,Area 7,Unpaved
